Name,OD_in,ID_in,Weight_lbft,Grade,UNS_Code,Material,Connection,Yield_psi,Burst_psi
9-5/8" L80-13Cr (40.0#),9.625,8.835,40.00,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,5750
9-5/8" S13Cr-110 (40.0#),9.625,8.835,40.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,7900
9-5/8" 17Cr-110 (40.0#),9.625,8.835,40.00,17Cr-110,S42000,Enhanced Martensitic CRA,Premium (VAM Top),110000,7900
9-5/8" 22Cr-110 (40.0#),9.625,8.835,40.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,7900
9-5/8" 25Cr-125 (40.0#),9.625,8.835,40.00,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,8980
9-5/8" P110 (40.0#),9.625,8.835,40.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,7900
9-5/8" Q125 (40.0#),9.625,8.835,40.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,8980
9-5/8" J-55 (43.5#),9.625,8.755,43.50,J-55,K05500,Carbon Steel,API EUE,55000,4330
9-5/8" L80-1 (43.5#),9.625,8.755,43.50,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,6330
9-5/8" L80-13Cr (43.5#),9.625,8.755,43.50,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,6330
9-5/8" S13Cr-110 (43.5#),9.625,8.755,43.50,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,8700
9-5/8" 22Cr-110 (43.5#),9.625,8.755,43.50,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,8700
9-5/8" P110 (43.5#),9.625,8.755,43.50,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,8700
9-5/8" Q125 (43.5#),9.625,8.755,43.50,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,9880
9-5/8" J-55 (47.0#),9.625,8.681,47.00,J-55,K05500,Carbon Steel,API EUE,55000,4750
9-5/8" L80-1 (47.0#),9.625,8.681,47.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,6870
9-5/8" L80-13Cr (47.0#),9.625,8.681,47.00,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,6870
9-5/8" S13Cr-110 (47.0#),9.625,8.681,47.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,9440
9-5/8" 17Cr-110 (47.0#),9.625,8.681,47.00,17Cr-110,S42000,Enhanced Martensitic CRA,Premium (VAM Top),110000,9440
9-5/8" 22Cr-110 (47.0#),9.625,8.681,47.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,9440
9-5/8" 25Cr-125 (47.0#),9.625,8.681,47.00,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,10730
9-5/8" P110 (47.0#),9.625,8.681,47.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,9440
9-5/8" Q125 (47.0#),9.625,8.681,47.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,10730
9-5/8" J-55 (53.5#),9.625,8.535,53.50,J-55,K05500,Carbon Steel,API EUE,55000,5430
9-5/8" L80-1 (53.5#),9.625,8.535,53.50,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,7900
9-5/8" L80-13Cr (53.5#),9.625,8.535,53.50,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,7900
9-5/8" S13Cr-110 (53.5#),9.625,8.535,53.50,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,10860
9-5/8" 17Cr-110 (53.5#),9.625,8.535,53.50,17Cr-110,S42000,Enhanced Martensitic CRA,Premium (VAM Top),110000,10860
9-5/8" 22Cr-110 (53.5#),9.625,8.535,53.50,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,10860
9-5/8" 25Cr-125 (53.5#),9.625,8.535,53.50,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,12340
9-5/8" P110 (53.5#),9.625,8.535,53.50,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,10860
9-5/8" Q125 (53.5#),9.625,8.535,53.50,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,12340
